,slug,description
43,mk-ultra,"Blueberry Blast is the creation of breeders at SnowHigh Seeds. It’s a cross of Blue Dream (Super Silver Haze cut) with Johnny Blaze designed to combine two strains with blueberry and haze genetics known for high yields. The top reported aromas of Blueberry Blast are blueberries, skunk, and sweet raspberries. And it is said to taste like sweet blueberries, earth, and cedar. Blueberry Blast is a sativa-dominant cross between Blue Dream and Johnny Blaze. It produces short, sturdy plants thanks to its sativa heritage. Blueberry Blast has an average flowering time between 63 and 84 days indoors or mid-to-late October outside in the Northern Hemisphere. Blueberry Blast is known to produce high yields of very resinous buds, according to the breeder. It grows well indoors or out. Blueberry Blast is available as seeds and clones."
44,blueberry-blast,"Game Changer is an indica-dominant hybrid cross between Purple Dragon and Green Thai. It tastes like tropical fruit and grapes and has a floral, yet dank aroma. The THC content ranges from 15 to 21%, making it mild to moderate, and great for any level of cannabis consumer. Game Changer has an even balance of indica and sativa effects, such as euphoria and helping people focus, and it won’t leave you feeling heavily sedated or couch-locked. Game Changer is good for beginner cultivators, as it’s hardy and not too difficult to grow. It typically flowers between 10 and 11 weeks."
45,game-changer,"Chem Jack is what happened when a smart, mysterious breeder crossed the incredibly popular Chemdawg and Jack Herer strains. The result is a potent, slightly sativa-leaning strain. The top reported aromas of the Chem Jack strain are sweet, earthy, and pine with matching reported flavors. Chem Jack is a sativa-dominant strain that’s a cross between Chemdawg and Jack Herer. Chem Jack produces tall plants with slender leaves thanks to its sativa heritage. Chem Jack has an average flowering time between 49 and 70 days and is known to produce high yields in ideal conditions. The Chem Jack strain grows indoors and outdoors. Chem Jack is available as seeds and clones."
46,chem-jack,"Green Goddess is the combination of Skunk #1 and Sweet Leaf. The original breeder is unknown. The top reported aromas of Green Goddess are flowers, pungent earth, and sweet citrus. And it is said to taste like citrus, skunk, and spice. Green Goddess is an indica-dominant cross between Skunk #1 and Sweet Leaf. It produces short, hardy plants with thick leaves thanks to its indica heritage. Despite its indica roots, Green Goddess has an average flowering time between 70 and 91 days and is known to produce low yields in ideal conditions. Green Goddess grows well inside and out. Green Goddess is available as seeds."
47,green-goddess,"Crown Genetics created Crown OG as a proprietary phenotype of the OG Kush cultivar. The top reported aromas of the Crown OG strain are earth, pine, and sugar. It is said to taste of herbs, tropical fruit, and musty pine. Crown OG is a hybrid-characteristic plant with a short structure, plentiful foliage, and medium-width fan leaves. The cultivar prefers semi-humid, temperate climates and requires regular pruning to allow light and air to reach lower branches. The strain flowers in 49 to 63 days indoors and late September outdoors. In ideal conditions, Crown OG produces approximately 12 ounces of bud per plant, a below-average amount. Crown OG is unavailable as seeds or clones."
48,crown-og,"Blue Nightmare was created by RNM Flowers when the breeder combined a Blue Dream female with Tahoe OG Kush. Those who have smoked Blue Nightmare cite its faint berry aromas mixed with grass and sage, while its OG funk emerges when the flowers are ground. Blue Nightmare reportedly tastes of spice and berries on the exhale, though its smoke may induce coughing. Blue Nightmare is an indica-dominant strain that produces short, bushy plants. While the cultivar prefers Mediterranean climates, Blue Nightmare's full bag appeal is realized when exposure to colder temperatures right before flowering produces lovely indigo coloring. Blue Nightmare is a pungent plant so odor-control measures may be necessary. The cultivar reaches full maturity in 56 to 63 days indoors, or mid-October when grown outdoors. Blue Nightmare is only available as clones."
49,blue-nightmare,"Sour Candy is a heavily sativa-dominant strain from G13 Labs in the United Kingdom. The top reported aromas are very sweet and sour, with earth and diesel notes. The top reported flavors are perfectly captured in the name, with a very sweet and sour candy-like flavor. Sour Candy is a cross between Sour Diesel and Bubble Gum. Sour Candy is not a strain recommended for novice growers, as it requires some patience and careful tending. It has a long flowering cycle of 77 to 84 days, and while it can be grown indoors or out, the plants tend to be quite tall, so it is not recommended for a limited growing space. When properly cultivated and cared for, however, these plants have a generous yield. Seeds are available for purchase online."
50,sour-candy,"Blue Ivy is a cultivar of mysterious origin that started appearing in Los Angeles dispensaries shortly after Jay-Z and Beyonce announced their firstborn daughter. The strain is thought to be a combination of Blue Dream and OG Kush. The top reported aromas of the Blue Ivy strain are a pungent skunk, herbs, and peppers. Its top reported flavors are spice, blueberries, and sweet earth. Blue Ivy is a balanced hybrid strain that’s perfect for beginning cultivators thanks to its resistance to most molds and pests. The strain grows both indoors and outdoors, producing long, dense, olive-green nugs. Blue Ivy flowers in eight to nine weeks indoors and mid-October outdoors. In ideal conditions, Blue Ivy produces up to 21 ounces per plant. Blue Ivy is available as seeds and clones."
51,blue-ivy,"Breeders at The Blazing Pistileros, also known as Irie Vibe Seeds, created Maramota #10 in Spain. The strain is a cross of DJ Short Blueberry and a 1988 G13 Hash Plant. The top reported aromas of Maramota #10 are nuts, strawberries, and vanilla with a similar taste. Maramota #10 is an indica-dominant cross between DJ Short Blueberry and 1988 G13 Hash Plant. It produces short, sturdy plants with good mold and mildew resistance thanks to its indica heritage. Maramota #10 has an average flowering time between 56 and 63 days and is known to produce high yields in ideal conditions. The strain grows well inside and out. Maramota #10 is available as seeds."
52,maramota-10,"Californian breeder Purple Caper Seeds used a pair of Kush's, Blackberry Kush and Chocolate Kush, to create Chocolate Hashberry, a beautiful plant with purple tipped leaves, bright green buds, curly orange pistils, and heavy resin production. According to Dark Heart Nursery, an online shop which carried the clones before they were discontinued, this strain has an earthy smell and nutty chocolate taste. The breeder prides itself on having rare strains so growers might have trouble locating Chocolate Hashberry. Seed bank Sensible Seeds, which is out of the seeds, says the cultivar is mostly indica, grows indoors or outdoors, and flowers in about eight weeks though Dark Heart lists it as slightly difficult to grow since it needs pruning. Chocolate Hashberry produces upbeat effects and increased appetite, according to Dark Heart."
53,chocolate-hashberry,"El-Na is the product of Israeli cannabis company Tikkun Olam. The company hasn’t shared the genetics of this strain but the name is said to come from a prayer for healing. The top reported aromas of El-Na are citrus, herbs, and earth. And it is said to taste like pine, herbs, and sweet fruit. El-Na is an indica-dominant strain of unknown origin. El-Na has an average flowering time between 49 and 63 days and is known to produce medium yields in ideal conditions. It grows best indoors. El-Na is not available as seeds or clones."
